Word	Count	Emotions
and	3417	
the	2991	
to	2248	
of	2068	
in	1373	
his	1181	
with	1162	
or	718	
that	706	
all	694	
from	685	
not	649	
their	595	
i	595	
but	591	
as	567	
a	549	
he	549	
on	539	
by	522	
for	474	
so	448	
thou	436	
this	429	
thy	420	
heaven	408	
what	394	
they	384	
thee	361	
him	352	
be	339	
now	325	
her	325	
thus	319	
which	311	
who	293	
me	284	
shall	284	
our	279	
at	276	
my	259	
god	255	anticipation, fear, joy, positive, trust
more	253	
is	237	
then	236	
them	231	
yet	230	
when	224	
though	218	
earth	215	
whom	211	
was	207	
nor	206	
we	204	
no	198	
us	191	
had	187	
will	184	
if	178	
first	173	
man	173	
where	171	
such	169	
these	162	
how	153	
have	152	
high	149	
it	147	
can	147	
than	146	
through	143	
one	142	
while	129	
far	128	
may	127	
death	126	anger, anticipation, disgust, fear, negative, sadness, surprise
great	123	
till	120	
other	119	
here	117	
day	115	
hath	113	
both	112	
each	110	
stood	110	
into	108	
whose	108	
hell	107	anger, disgust, fear, negative, sadness
might	107	
world	106	
there	106	
like	106	
things	105	
good	105	anticipation, joy, positive, surprise, trust
those	104	
night	104	
up	102	
love	102	joy, positive
adam	102	
light	98	
eve	98	
she	96	
were	95	
o	94	
air	92	
soon	91	
some	91	
fair	91	positive
let	90	
down	90	
still	90	
ye	90	
son	88	
know	87	
life	87	
forth	85	
only	84	
long	84	anticipation
place	83	
own	82	
less	81	
power	80	
under	80	
way	80	
much	77	
hand	77	
found	77	joy, positive, trust
new	77	
before	76	
out	75	
deep	75	
must	75	
made	75	
without	72	
find	72	
th	71	
satan	71	
part	71	
men	70	
once	70	
well	70	
are	70	
could	69	
round	69	
sight	68	
since	67	
against	67	
none	67	
among	66	
many	65	
over	65	
should	65	
end	64	
evil	64	anger, disgust, fear, negative, sadness
hast	64	
above	63	
last	63	
sun	63	anticipation, joy, positive, surprise, trust
glory	62	anticipation, joy, positive, trust
spake	62	
nature	62	
joy	60	joy, positive
lost	59	negative, sadness
fruit	59	
bright	59	
within	59	
ground	59	trust
saw	59	
happy	58	anticipation, joy, positive, trust
wide	58	
seemed	58	
would	58	
father	58	trust
eyes	57	
right	57	
oft	57	
paradise	56	
heard	56	
war	56	fear, negative
left	56	
head	56	
just	56	
after	55	
perhaps	55	
best	55	
sweet	55	anticipation, joy, positive, surprise, trust
see	54	
heart	54	
pain	54	fear, negative, sadness
rest	54	positive
thoughts	54	
spirits	54	anticipation, joy, positive, surprise
gods	54	
came	54	
thence	53	
fire	53	fear
your	53	
hope	52	anticipation, joy, positive, surprise, trust
art	52	anticipation, joy, positive, sadness, surprise
arms	51	
side	51	
works	51	
sea	51	positive
fear	51	anger, fear, negative
live	51	
tree	50	anger, anticipation, disgust, joy, positive, surprise, trust
taste	50	
state	50	
angel	50	anticipation, joy, positive, surprise, trust
seat	49	
words	49	anger, negative
behold	49	
heavenly	48	anticipation, joy, positive, trust
free	48	
ere	48	
created	47	
dark	47	sadness
most	47	
king	47	positive
voice	47	
sat	47	
throne	46	positive, trust
thought	46	anticipation
peace	46	anticipation, joy, positive, trust
sin	46	anger, disgust, fear, negative, sadness
two	46	
eternal	45	
angels	45	
powers	45	
work	45	
said	45	
divine	45	
hill	44	
spirit	44	positive
fall	44	negative, sadness
fell	44	negative, sadness
replied	44	
do	43	
darkness	43	anger, fear, negative, sadness
called	43	
foe	43	anger, fear, negative
reason	43	positive
also	42	
never	42	
vain	42	
else	42	
bring	42	
sons	42	
full	42	positive
eye	42	
stand	42	
pure	41	
whence	41	
mind	41	
ever	41	
mean	41	
time	40	anticipation
mankind	40	
dwell	40	
grace	40	positive
human	40	
bliss	40	joy, positive
therefore	40	
alone	40	
shape	39	positive
off	39	
began	39	
worse	39	fear, negative, sadness
race	39	
days	38	
set	38	
next	38	
force	38	anger, fear, negative
too	38	
land	38	positive
return	38	
come	38	
flight	37	
equal	37	
gold	37	positive
knowledge	37	positive
brought	36	
delight	36	anticipation, joy, positive
wings	36	
serpent	36	disgust, fear, negative
host	36	
lest	36	
thine	36	
name	35	
himself	35	
almighty	35	positive
change	35	fear
field	35	
back	35	
faith	35	anticipation, joy, positive, trust
why	35	
mine	35	
been	34	
length	34	
woe	34	disgust, fear, negative, sadness
fierce	34	anger, disgust, fear, negative
strength	34	positive, trust
sad	34	
virtue	34	positive, trust
beyond	34	
sound	34	
about	34	
thyself	34	
turned	34	
every	33	
seek	33	anticipation
morn	33	anticipation
praise	33	joy, positive, trust
returned	33	
mortal	32	negative
rose	32	
receive	32	
call	32	
known	31	
an	31	
rather	31	
sense	31	positive
armed	31	anger, fear, negative, positive
sole	31	
leave	31	negative, sadness, surprise
better	31	
cloud	31	
either	31	
golden	31	
half	31	
shalt	31	
beast	31	anger, fear, negative
wild	30	negative, surprise
upon	30	
seen	30	
old	30	
highest	30	anticipation, fear, joy, negative, positive, surprise
due	30	
face	30	
open	30	
seed	29	
raised	29	
reign	29	
late	29	negative, sadness
whether	29	
thither	29	
appeared	29	
celestial	29	anticipation, joy, positive
least	29	
passed	29	
living	29	
doubt	29	fear, negative, sadness, trust
hour	29	
gave	29	
flowers	29	
meet	29	
seems	29	
creatures	29	
done	29	
even	28	
say	28	
foul	28	anger, disgust, fear, negative
battle	28	anger, negative
doom	28	fear, negative
glorious	28	
deeds	28	
being	28	
hear	28	
thick	28	
given	28	
various	28	
fit	28	
stars	28	
second	27	
ill	27	anger, disgust, fear, negative, sadness
large	27	
winds	27	
themselves	27	
firm	27	
soft	27	
law	27	trust
am	27	
eden	26	
fast	26	
mount	26	
wrath	26	anger, fear, negative
hate	26	anger, disgust, fear, negative, sadness
fixed	26	trust
shame	26	disgust, fear, negative, sadness
led	26	
aught	26	
serve	26	negative, trust
ease	26	positive
between	26	
bounds	26	
nigh	26	
ear	26	
wise	26	positive
true	26	joy, positive, trust
sleep	26	
chaos	25	anger, fear, negative, sadness
mighty	25	anger, fear, joy, positive, trust
cause	25	
rage	25	anger, negative
scarce	25	fear, negative, sadness
wandering	25	
image	25	
sacred	25	
hands	25	
maker	25	
rise	25	
fight	25	anger, fear, negative
ended	25	
shade	25	
you	24	
course	24	
proud	24	anticipation, joy, positive, trust
fiery	24	
chief	24	
plain	24	
infinite	24	positive
choice	24	positive
moon	24	
loud	24	
wing	24	
honour	24	
command	24	
met	24	
past	24	
pleased	24	joy, positive
bear	24	anger, fear
michael	24	
wisdom	24	positive, trust
garden	24	joy, positive
die	24	fear, negative, sadness
eat	24	positive
look	23	
hold	23	
didst	23	
revenge	23	anger, anticipation, fear, negative, surprise
sky	23	positive
bold	23	positive
thunder	23	
dire	23	disgust, fear, negative, sadness, surprise
fate	23	anticipation, negative
feel	23	
fiend	23	anger, disgust, fear, negative
evening	23	
beheld	23	
swift	23	positive
native	23	
fled	23	fear
think	23	
sudden	23	surprise
strange	23	
lord	23	disgust, negative, positive, trust
desire	23	
go	23	
dear	23	positive
waters	23	
another	22	
hence	22	
low	22	
ways	22	
tell	22	
sought	22	
others	22	
forthwith	22	
hills	22	
pass	22	
hard	22	
looks	22	
bent	22	
rising	22	anticipation, joy, positive
appear	22	
judge	22	
clouds	22	
soul	22	
truth	22	positive, trust
trees	22	
took	21	
did	21	
aid	21	positive
present	21	anticipation, joy, positive, surprise, trust
mother	21	anticipation, joy, negative, positive, sadness, trust
lay	21	
silence	21	
fallen	21	
joined	21	positive
answered	21	
labour	21	
gates	21	
save	21	joy, positive, trust
flood	21	fear
held	21	
small	21	negative
wonder	21	
watch	21	anticipation, fear
holy	21	positive
pleasant	21	anticipation, joy, positive, surprise, trust
move	21	
sent	21	
speed	21	
rule	21	fear, trust
false	21	
charge	21	
sung	21	
give	20	
loss	20	anger, fear, negative, sadness
song	20	
vast	20	
moved	20	
infernal	20	
ethereal	20	fear
ordained	20	positive, trust
dreadful	20	anger, anticipation, disgust, fear, negative, sadness
winged	20	
supreme	20	positive
secure	20	
bad	20	anger, disgust, fear, negative, sadness
haste	20	anticipation
flesh	20	disgust
